Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop,resort_size_category
Alpendorf (Ski amedé),Austria,1980,740,52.0,30,81,4,115,1,0,22,16,11,49,75398,600,1240,Very Large
Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47.0,100,77,33,210,1,1,37,28,7,72,99017,1032,930,Very Large
Oberau (Wildschönau),Austria,1130,900,30.0,1,0,1,2,0,0,2,0,0,2,1932,0,230,Small
Dachstein West,Austria,1620,780,42.0,15,33,3,51,1,1,25,8,3,36,32938,163,840,Large
Rosa Khutor,Southern Russia,2320,940,22.0,30,26,21,77,1,0,6,11,10,27,49228,450,1380,Large
Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,23.0,12,3,0,16,1,1,7,1,0,8,28020,0,230,Small
Vitosha-Sofia,Bulgaria,2290,726,18.0,12,6,2,20,0,1,8,5,2,15,12450,0,1564,Small
Szczyrk-Skrzyczne,Poland,1257,524,20.0,22,7,4,35,0,0,11,4,1,16,22500,0,733,Medium
Jahorina,Bosnia and Herzegovina,1889,920,20.0,3,19,3,25,0,1,5,5,1,11,16230,0,969,Small
Kobla-Bohinj,Slovenia,1480,540,22.0,12,10,1,23,0,0,3,3,0,6,5720,30,940,Small
Aillons-Margériaz,France,1785,1370,19.0,18,4,1,24,0,0,7,1,0,8,10025,0,415,Small
Gornaya Karusel,Southern Russia,960,540,22.0,4,15,1,20,0,0,3,1,0,4,15740,0,420,Small
Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750,1050,34.0,14,5,1,20,1,1,11,3,1,15,5790,46,700,Small
St. Pierre de Chartreuse-Le Planolet,France,1800,900,21.0,18,12,5,35,0,0,3,2,0,5,12610,35,900,Medium
Buchenberg-Buching-Halblech-,Germany,1140,810,25.0,2,4,0,6,0,0,2,1,0,3,2800,0,330,Small
Méribel (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large
​Les Menuires (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120,Very Large
Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620,1100,44.0,53,239,18,310,1,1,44,28,0,72,83807,514,1520,Very Large
Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476,694,47.0,135,95,35,265,1,0,34,29,9,72,97624,1100,1782,Very Large
Megève-​Saint-Gervais,France,2353,850,46.0,98,134,31,263,1,1,50,27,9,86,106362,888,1503,Very Large
Laax-​Flims-​Falera,Switzerland,3018,1100,68.0,88,81,19,188,1,0,13,9,11,33,46116,300,1918,Very Large
Vars-​Risoul-La Forêt Blanche,France,2750,1650,39.0,75,90,20,185,1,1,32,17,2,51,50145,0,1100,Very Large
Kicking Horse,France,1608,1500,39.0,56,93,30,180,1,0,21,13,4,38,40680,281,108,Very Large
Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550,1250,44.0,115,35,15,165,1,0,36,17,3,56,60248,332,1300,Very Large
Galibier Thabor-Valmeinier-​Valloire,France,2594,1430,39.0,75,60,15,150,1,1,12,17,2,31,43300,400,1164,Very Large
Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500,580,52.0,43,89,11,143,1,0,22,21,13,56,89415,792,1920,Very Large
La Molina-​Masella-Alp2500,Spain,2531,1616,45.0,76,47,18,141,1,1,19,13,1,33,39750,1010,915,Very Large
Auron-Saint-Etienne-de-Tinée-,France,1600,1150,34.0,60,45,30,135,1,0,7,9,3,19,25030,440,450,Very Large
Alta Badia,Italy,2550,1324,52.0,70,52,8,130,1,0,18,30,11,59,89327,391,1226,Very Large
La Clusaz-​Manigod,France,2477,1040,37.0,62,40,23,125,1,1,28,14,7,49,59346,223,1437,Very Large
