Resort,HighestPoint,LowestPoint,VerticalDrop,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Snowparks,NightSki,Country_Andorra,Country_Austria,Country_France,Country_Germany,Country_Italy,Country_Norway,Country_Other,Country_Slovakia,Country_Spain,Country_Sweden,Country_Switzerland
Alpendorf (Ski amedé),-0.15818667271447945,-0.84380484915833,0.41323604949722414,0.9384572829040756,-0.12316525580666292,0.8391492255801904,-0.44935288152352915,0.23553668604220637,0.5571321357003153,0.5108785807593328,1.0542227486801623,0.6904947553397693,0.8659143026241516,0.9204635972688553,1,0,0,1,0,0,0,0,0,0,0,0,0
Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),0.7508271698278202,1.5830723178807748,-0.16274773134293102,0.4772496438700212,1.1739471683877922,0.7588875192738851,1.1734877112409725,1.068131483214657,1.596459404732333,1.4603902864130422,0.44828136404244306,1.4306603593412648,1.3781741456613994,1.9754860979135094,1,1,1,0,0,0,0,0,0,0,0,0,0
Oberau (Wildschönau),-1.3288863184128956,-0.4434952133580653,-1.4633562687239265,-1.0908563288457638,-0.6605404029729373,-0.7861503271224941,-0.6172329428439949,-0.7548129148050242,-0.828637556342375,-0.7551370267789462,-0.6121160590735656,-0.8220175658806779,-0.7274504303693892,-0.5448454314042755,0,0,0,1,0,0,0,0,0,0,0,0,0
Dachstein West,-0.6540124050102792,-0.7437274402082639,-0.3299688290062019,0.016042004835966853,-0.4011179181340462,-0.12399125009547447,-0.5053129019636844,-0.3253692825792339,0.7649975895067188,-0.12212922300980676,-0.1576600205952762,0.27214028351283714,-0.054977900066967296,-0.146769811948075,1,1,0,1,0,0,0,0,0,0,0,0,0
Rosa Khutor,0.310093185564887,-0.34341780440799907,0.6733577569734233,-1.8287885513002506,-0.12316525580666292,-0.26444923613150895,0.5019674659591099,-0.09750123282677381,-0.5514836179338369,0.11524870340362056,0.9027374025207325,-0.017489735444269777,0.2983271866461351,0.5541363401005726,1,0,0,0,0,0,0,0,1,0,0,0,0
Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,-1.6318909325936621,-0.9939209625834293,-1.4633562687239265,-1.73654702349344,-0.45670845059952286,-0.725954047392765,-0.6731929632841501,-0.6321147341690841,-0.48219513333170244,-0.6760110513078038,-0.6121160590735656,-0.6289308865759399,-0.16164176848041342,-0.5448454314042755,1,1,0,0,0,0,0,0,1,0,0,0,0
Vitosha-Sofia,0.26877437454023706,-0.8788319422908532,1.0152320010849993,-2.1977546625274944,-0.45670845059952286,-0.665757767663036,-0.5612729224038396,-0.5970581111302441,-0.41290664872956795,-0.3595071494232341,-0.309145366754706,-0.4036630940537456,-0.4993311607531577,-0.5448454314042755,0,1,0,0,0,0,0,0,1,0,0,0,0
Szczyrk-Skrzyczne,-1.1539700184085442,-1.3842228574886875,-0.5287761340058683,-2.0132716069138725,-0.27140667571460064,-0.6456923410864597,-0.44935288152352915,-0.465595774734594,-0.2050411949231644,-0.4386331248943765,-0.4606307129141358,-0.3714819808362893,-0.28136209252315897,-0.5448454314042755,0,0,0,0,0,0,0,0,1,0,0,0,0
Jahorina,-0.28352039948925106,-0.3934565088830322,-0.09028525568884699,-2.0132716069138725,-0.6234800479959528,-0.40490722216754343,-0.5053129019636844,-0.553237332331694,-0.6207721025359715,-0.3595071494232341,-0.4606307129141358,-0.5323875469235709,-0.4173487649412776,-0.5448454314042755,0,1,0,0,0,0,0,0,1,0,0,0,0
Kobla-Bohinj,-0.8468335231253126,-1.344191893908661,-0.14416760938034537,-1.8287885513002506,-0.45670845059952286,-0.5854960613567306,-0.6172329428439949,-0.5707656438511141,-0.7593490717402405,-0.517759100365519,-0.6121160590735656,-0.6932931130108525,-0.6452945268415051,-0.471579979970619,0,0,0,0,0,0,0,0,1,0,0,0,0
Aillons-Margériaz,-0.42675894437470435,0.7324143418052124,-1.119624012416092,-2.1055131347206832,-0.34552738566856955,-0.7058886208161887,-0.6172329428439949,-0.562001488091404,-0.48219513333170244,-0.6760110513078038,-0.6121160590735656,-0.6289308865759399,-0.5519256871668639,-0.5448454314042755,0,0,0,0,1,0,0,0,0,0,0,0,0
Gornaya Karusel,-1.563026247552579,-1.344191893908661,-1.1103339514347992,-1.8287885513002506,-0.6049498705074606,-0.48516892847384885,-0.6172329428439949,-0.5970581111302441,-0.7593490717402405,-0.6760110513078038,-0.6121160590735656,-0.7576553394457652,-0.4279761125465213,-0.5448454314042755,0,0,0,0,0,0,0,0,1,0,0,0,0
Kaiseregg-​Riggisalp-Schwarzsee,-0.47496422390346266,-0.06820492979531709,-0.5900905364824011,-0.7218902176185201,-0.4196480956225384,-0.6858231942396124,-0.6172329428439949,-0.5970581111302441,-0.2050411949231644,-0.517759100365519,-0.4606307129141358,-0.4036630940537456,-0.6437763343264703,-0.4325050725393355,1,1,0,0,0,0,0,0,0,0,0,0,1
St. Pierre de Chartreuse-Le Planolet,-0.4060995388623794,-0.4434952133580653,-0.218488097230688,-1.9210300791070616,-0.34552738566856955,-0.5453652082035779,-0.3933928610833739,-0.465595774734594,-0.7593490717402405,-0.5968850758366614,-0.6121160590735656,-0.7254742262283089,-0.4958610064330781,-0.45936907139834293,0,0,0,0,1,0,0,0,0,0,0,0,0
Buchenberg-Buching-Halblech-,-1.315113381404679,-0.6686693834957141,-1.27755504909807,-1.552063967879818,-0.642010225484445,-0.7058886208161887,-0.6731929632841501,-0.7197562917661842,-0.828637556342375,-0.6760110513078038,-0.6121160590735656,-0.7898364526632216,-0.7086248431829575,-0.5448454314042755,0,0,0,0,0,1,0,0,0,0,0,0,0
Méribel (Les 3 Vallées),1.5634304533126033,0.08191118362978218,2.0482867822047615,1.7686310331653736,5.102344795948143,3.5479818134179983,3.3559285084070267,4.486152229501559,3.3286715197856958,4.2297994279030275,5.447297787303627,4.423503888564703,4.671415660810424,5.274873594142509,1,1,0,0,1,0,0,0,0,0,0,0,0
​Les Menuires (Les 3 Vallées),1.5634304533126033,0.08191118362978218,2.0482867822047615,1.7686310331653736,5.102344795948143,3.5479818134179983,3.3559285084070267,4.486152229501559,3.3286715197856958,4.2297994279030275,5.447297787303627,4.423503888564703,4.671415660810424,5.274873594142509,1,1,0,0,1,0,0,0,0,0,0,0,0
Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,0.7232812958113869,0.05689183139226564,0.9334794644496224,0.20052506044958862,0.3030288264286581,4.009486624679255,0.33408740463864417,1.9445470591856573,2.0814787969472746,1.4603902864130422,-0.6121160590735656,1.4306603593412648,1.0482926006088342,0.7104359698257066,1,1,0,0,1,0,0,0,0,0,0,0,0
